mode,id,memory_used,timestamp,init,billed,memory_max,duration
interactive,34469768209871263269484470609221321181675419282259968038,50,1545677864260,,100,256,27.07
interactive,34469732442218956485784216292117378523183433587406798893,48,1545676260383,,100,256,32.09
interactive,34469726989976665132627755985978262604341522111418794073,49,1545676015896,,100,256,38.33
interactive,34469762629288183298784274117850109749163344273908367429,49,1545677614018,,100,256,48.34
interactive,34469765513332056098757112054222348076144036023941201982,48,1545677743343,,100,256,22.79
interactive,34469745978615186777482749576522172036962168811605131306,48,1545676867376,,100,256,49.13
embedded,34469852804536866586814952882371147243722368760469651467,83,1545681657616,777.88,800,256,2.79
interactive,34469759765002770744709568290349592166863644108387647530,48,1545677485579,,100,256,23.71
interactive,34469726787887312143543249077381583617602070144224264202,48,1545676006834,447.58,600,256,136.48
interactive,34469716294338561210554121117897810514727115606967582801,48,1545675536287,,100,256,47.45
interactive,34469732466749776204167901747806668623096631243985256502,48,1545676261483,,100,256,26.15
interactive,34469768349875341625859722691782560497361832816805019737,50,1545677870538,,100,256,53.19
interactive,34469729647913282364698605877143726253022191218015404122,49,1545676135082,,100,256,38.71
interactive,34469740570662175388608106836116972850391297748612022326,48,1545676624875,,100,256,16.89
interactive,34469721515143718893359774450501101078430528102050431003,50,1545675770396,,100,256,23.45
embedded,34469844286432726830065484152811527556882770720649052235,83,1545681275651,,100,256,21.5
interactive,34469751478848681797877110883407497628365402087608811540,48,1545677114015,,100,256,19.95
interactive,34469740548829745839246626780553504661468551834257195053,48,1545676623896,,100,256,26.72
interactive,34469740503336225634244155571820639385265894362057146395,48,1545676621856,,100,256,23.79
embedded,34469864306904428065733879935899081904026955895059120184,83,1545682173400,,100,256,29.31
interactive,34469732419449895638084450064609410166809456489800794148,48,1545676259362,,100,256,57.11
embedded,34469884027364204145569802569320828287019780224041549870,86,1545683057696,,100,256,29.88
interactive,34469716246168951581727975132180659045806654754049884223,48,1545675534127,,100,256,47.18
embedded,34469878500838130536107836579955024288457246193011064890,84,1545682809878,,100,256,23.72
embedded,34469846975032868710115940872619804602661023225591955491,84,1545681396212,,100,256,8.43
embedded,34469844236925072489327500778602232991603408177372528699,83,1545681273431,,100,256,22.54
embedded,34469864358196142022354313161431233931118187358814077001,83,1545682175700,,100,256,24.38
embedded,34469841293672721187255858404873050781171213214289428508,87,1545681141451,,100,256,35.1
embedded,34469841425202516368189473693650717153251249376561922119,87,1545681147349,,100,256,18.68
embedded,34469867322366592320647680042555851940700046009231736940,81,1545682308618,,100,256,15.48
interactive,34469735141188944883151412770956511441509995454327685131,49,1545676381409,504.41,700,256,134.65
embedded,34469856039126153162490655989966006085610490800781656123,82,1545681802660,,100,256,49.18
interactive,34469735297316462018064305384848075068321174357696577607,50,1545676388410,,100,256,37.36
embedded,34469846929472446269517877794462332171640420668873965585,84,1545681394169,,100,256,27.1
embedded,34469875558009493392808276046789830909141089514967793680,84,1545682677917,,100,256,9.46
embedded,34469864563340697103637515440418306321210464852327923820,83,1545682184899,,100,256,48.89
interactive,34469724163089602276488905175100152579690566670859042832,48,1545675889134,,100,256,45.28
